Ano,PIB - valores correntes (Milhões de Reais),PIB - deflator - variação anual (%),População residente (Mil pessoas),PIB per capita - valores correntes (Reais)
1996,854764,18.5,163538,5226.69
1997,952089,7.7,166104,5731.89
1998,1002351,4.9,168693,5941.86
1999,1087710,8,171256,6351.36
2000,1199092,5.6,173766,6900.62
2001,1315755,8.2,176209,7467.03
2002,1488787,9.8,178499,8340.58
2003,1717950,14.1,180708,9506.76
2004,1957751,7.8,182865,10705.99
2005,2170585,7.4,184991,11733.45
2006,2409450,6.8,187062,12880.52
2007,2720263,6.4,189038,14390.01
2008,3109803,8.8,191010,16280.82
2009,3333039,7.3,192981,17271.34
2010,3885847,8.4,194891,19938.6
2011,4376382,8.3,196604,22259.91
2012,4814760,7.9,198315,24278.35
2013,5331619,7.5,200004,26657.54
2014,5778953,7.8,201718,28648.74
2015,5995787,7.6,203476,29466.85
2016,6267205,8.1,205157,30548.4
,,,,
