"data";"valor"
"01/01/1991";"2,37"
"01/02/1991";"2,48"
"01/03/1991";"2,72"
"01/04/1991";"2,96"
"01/05/1991";"3,17"
"01/06/1991";"3,47"
"01/07/1991";"3,91"
"01/08/1991";"4,40"
"01/09/1991";"5,01"
"01/10/1991";"6,39"
"01/11/1991";"8,09"
"01/12/1991";"10,62"
"01/01/1992";"13,60"
"01/02/1992";"17,08"
"01/03/1992";"21,38"
"01/04/1992";"25,96"
"01/05/1992";"31,30"
"01/06/1992";"38,26"
"01/07/1992";"47,55"
"01/08/1992";"59,30"
"01/09/1992";"74,93"
"01/10/1992";"95,25"
"01/11/1992";"121,98"
"01/12/1992";"168,55"
"01/01/1993";"212,29"
"01/02/1993";"271,74"
"01/03/1993";"358,34"
"01/04/1993";"460,83"
"01/05/1993";"609,81"
"01/06/1993";"785,47"
"01/07/1993";"1020,61"
"01/08/1993";"1370,26"
"01/09/1993";"1903,38"
"01/10/1993";"2607,25"
"01/11/1993";"3571,70"
"01/12/1993";"5000,89"
"01/01/1994";"7151,91"
"01/02/1994";"10051,17"
"01/03/1994";"14575,41"
"01/04/1994";"20305,38"
"01/05/1994";"29823,30"
"01/06/1994";"43680,77"
"01/07/1994";"45646,40"
"01/08/1994";"46163,28"
"01/09/1994";"46646,89"
"01/10/1994";"48040,38"
"01/11/1994";"49593,75"
"01/12/1994";"51090,85"
"01/01/1995";"52098,77"
"01/02/1995";"53616,26"
"01/03/1995";"55354,28"
"01/04/1995";"58046,00"
"01/05/1995";"59987,07"
"01/06/1995";"60709,75"
"01/07/1995";"62957,44"
"01/08/1995";"65439,82"
"01/09/1995";"66971,85"
"01/10/1995";"68890,45"
"01/11/1995";"71130,14"
"01/12/1995";"72476,44"
"01/01/1996";"74983,74"
"01/02/1996";"76476,03"
"01/03/1996";"78740,80"
"01/04/1996";"80144,58"
"01/05/1996";"82399,75"
"01/06/1996";"84226,15"
"01/07/1996";"86453,00"
"01/08/1996";"87918,07"
"01/09/1996";"89871,79"
"01/10/1996";"91669,48"
"01/11/1996";"92355,59"
"01/12/1996";"93337,85"
"01/01/1997";"95147,16"
"01/02/1997";"96346,07"
"01/03/1997";"97581,47"
"01/04/1997";"99208,84"
"01/05/1997";"100467,32"
"01/06/1997";"106119,40"
"01/07/1997";"107272,00"
"01/08/1997";"107276,47"
"01/09/1997";"108518,21"
"01/10/1997";"108142,76"
"01/11/1997";"107155,23"
"01/12/1997";"115891,52"
"01/01/1998";"117448,68"
"01/02/1998";"119146,27"
"01/03/1998";"121159,74"
"01/04/1998";"119765,02"
"01/05/1998";"121442,23"
"01/06/1998";"123232,03"
"01/07/1998";"123474,86"
"01/08/1998";"126963,93"
"01/09/1998";"127542,75"
"01/10/1998";"129227,39"
"01/11/1998";"127677,06"
"01/12/1998";"130905,02"
"01/01/1999";"140052,54"
"01/02/1999";"143292,76"
"01/03/1999";"145837,60"
"01/04/1999";"147925,43"
"01/05/1999";"151216,99"
"01/06/1999";"152764,61"
"01/07/1999";"157535,92"
"01/08/1999";"161676,80"
"01/09/1999";"163756,17"
"01/10/1999";"165720,20"
"01/11/1999";"167310,55"
"01/12/1999";"170785,81"
"01/01/2000";"172261,40"
"01/02/2000";"176250,76"
"01/03/2000";"175758,66"
"01/04/2000";"176658,47"
"01/05/2000";"177426,60"
"01/06/2000";"178032,96"
"01/07/2000";"179647,63"
"01/08/2000";"184608,98"
"01/09/2000";"188481,61"
"01/10/2000";"188053,92"
"01/11/2000";"181793,76"
"01/12/2000";"185323,07"
"01/01/2001";"201693,91"
"01/02/2001";"203265,25"
"01/03/2001";"207172,85"
"01/04/2001";"209409,70"
"01/05/2001";"213665,55"
"01/06/2001";"213603,66"
"01/07/2001";"217325,53"
"01/08/2001";"221589,21"
"01/09/2001";"225202,51"
"01/10/2001";"228016,25"
"01/11/2001";"229856,42"
"01/12/2001";"229564,68"
"01/01/2002";"231369,59"
"01/02/2002";"230342,32"
"01/03/2002";"231620,01"
"01/04/2002";"232245,20"
"01/05/2002";"234674,97"
"01/06/2002";"240661,58"
"01/07/2002";"250857,31"
"01/08/2002";"252504,53"
"01/09/2002";"266819,84"
"01/10/2002";"269451,29"
"01/11/2002";"276670,19"
"01/12/2002";"292977,65"
"01/01/2003";"296582,85"
"01/02/2003";"301536,98"
"01/03/2003";"304148,87"
"01/04/2003";"305002,71"
"01/05/2003";"305366,87"
"01/06/2003";"304060,77"
"01/07/2003";"305503,37"
"01/08/2003";"305975,97"
"01/09/2003";"307727,32"
"01/10/2003";"310377,59"
"01/11/2003";"313264,49"
"01/12/2003";"316719,13"
"01/01/2004";"318515,24"
"01/02/2004";"319976,62"
"01/03/2004";"323022,47"
"01/04/2004";"325537,02"
"01/05/2004";"332145,13"
"01/06/2004";"337055,42"
"01/07/2004";"340030,96"
"01/08/2004";"342750,95"
"01/09/2004";"345311,59"
"01/10/2004";"346670,16"
"01/11/2004";"347001,73"
"01/12/2004";"351058,33"
"01/01/2005";"347246,74"
"01/02/2005";"347104,92"
"01/03/2005";"348984,57"
"01/04/2005";"350737,01"
"01/05/2005";"349895,47"
"01/06/2005";"348869,42"
"01/07/2005";"348847,68"
"01/08/2005";"347262,15"
"01/09/2005";"343879,83"
"01/10/2005";"344438,11"
"01/11/2005";"344281,90"
"01/12/2005";"350055,11"
"01/01/2006";"348427,30"
"01/02/2006";"350095,47"
"01/03/2006";"350262,46"
"01/04/2006";"348547,22"
"01/05/2006";"350554,79"
"01/06/2006";"350873,40"
"01/07/2006";"352165,50"
"01/08/2006";"353390,55"
"01/09/2006";"355088,29"
"01/10/2006";"354597,55"
"01/11/2006";"356784,80"
"01/12/2006";"363936,81"
"01/01/2007";"362907,46"
"01/02/2007";"363811,33"
"01/03/2007";"362640,71"
"01/04/2007";"360743,89"
"01/05/2007";"359205,06"
"01/06/2007";"358216,83"
"01/07/2007";"356985,72"
"01/08/2007";"358463,43"
"01/09/2007";"362517,17"
"01/10/2007";"364215,17"
"01/11/2007";"367222,35"
"01/12/2007";"373323,07"
"01/01/2008";"376983,70"
"01/02/2008";"378379,45"
"01/03/2008";"379724,60"
"01/04/2008";"381250,69"
"01/05/2008";"383084,99"
"01/06/2008";"388464,46"
"01/07/2008";"394458,49"
"01/08/2008";"399256,10"
"01/09/2008";"401172,34"
"01/10/2008";"405294,29"
"01/11/2008";"411542,32"
"01/12/2008";"414954,02"
"01/01/2009";"412882,55"
"01/02/2009";"413003,40"
"01/03/2009";"411718,06"
"01/04/2009";"407446,77"
"01/05/2009";"404166,31"
"01/06/2009";"403958,40"
"01/07/2009";"403942,47"
"01/08/2009";"402711,75"
"01/09/2009";"402111,12"
"01/10/2009";"402574,87"
"01/11/2009";"403652,15"
"01/12/2009";"406404,42"
"01/01/2010";"406666,77"
"01/02/2010";"408808,33"
"01/03/2010";"411100,09"
"01/04/2010";"411381,19"
"01/05/2010";"414861,00"
"01/06/2010";"421200,24"
"01/07/2010";"423267,42"
"01/08/2010";"424897,02"
"01/09/2010";"429192,07"
"01/10/2010";"433733,30"
"01/11/2010";"438258,10"
"01/12/2010";"450766,40"
"01/01/2011";"450378,40"
"01/02/2011";"452210,65"
"01/03/2011";"453813,62"
"01/04/2011";"455550,13"
"01/05/2011";"457505,21"
"01/06/2011";"456572,13"
"01/07/2011";"456764,26"
"01/08/2011";"456623,50"
"01/09/2011";"463660,36"
"01/10/2011";"464667,25"
"01/11/2011";"468426,11"
"01/12/2011";"474345,24"
"01/01/2012";"468582,33"
"01/02/2012";"467401,52"
"01/03/2012";"469131,98"
"01/04/2012";"472672,41"
"01/05/2012";"480791,62"
"01/06/2012";"487891,39"
"01/07/2012";"493219,15"
"01/08/2012";"500716,74"
"01/09/2012";"508329,46"
"01/10/2012";"512887,94"
"01/11/2012";"513824,12"
"01/12/2012";"519422,67"
"01/01/2013";"519795,34"
"01/02/2013";"519493,22"
"01/03/2013";"521934,86"
"01/04/2013";"522510,18"
"01/05/2013";"526673,48"
"01/06/2013";"529789,18"
"01/07/2013";"539486,92"
"01/08/2013";"545173,72"
"01/09/2013";"544986,33"
"01/10/2013";"553231,80"
"01/11/2013";"561276,91"
"01/12/2013";"569793,76"
"01/01/2014";"571204,52"
"01/02/2014";"568157,59"
"01/03/2014";"572981,57"
"01/04/2014";"582448,39"
"01/05/2014";"587788,94"
"01/06/2014";"586805,99"
"01/07/2014";"590499,63"
"01/08/2014";"592193,14"
"01/09/2014";"604705,12"
"01/10/2014";"608354,15"
"01/11/2014";"619733,18"
"01/12/2014";"643065,63"
